n_rows,n_cols,with_walls,seed,corridor_rows,k_neighbors,n_zones,nodes_A,edges_A,nodes_B,edges_B,M1_A,M1_B,M2,M3,M4_A,M4_B
4,2,False,3,3,2,8,15,16,25,33,1.0,1.0,1.0,0.881,undefined,undefined
4,2,False,3,3,3,8,15,16,25,41,1.0,1.0,1.0,0.8268,undefined,undefined
4,2,False,3,3,4,8,15,16,25,49,1.0,1.0,1.0,0.8268,undefined,undefined
4,2,True,1,3,2,8,15,12,25,17,0.5,0.125,0.625,0.9253,0.4167,0.9412
4,2,True,1,3,3,8,15,12,25,17,0.5,0.125,0.625,0.9253,0.4167,0.9412
4,2,True,1,3,4,8,15,12,25,17,0.5,0.125,0.625,0.9253,0.4167,0.9412
4,2,True,2,3,2,8,15,12,25,17,0.5,0.125,0.625,0.9253,0.4167,0.9412
4,2,True,2,3,3,8,15,12,25,17,0.5,0.125,0.625,0.9253,0.4167,0.9412
4,2,True,2,3,4,8,15,12,25,17,0.5,0.125,0.625,0.9253,0.4167,0.9412
4,2,True,3,3,2,8,15,12,25,17,0.5,0.125,0.625,0.9253,0.4167,0.9412
4,2,True,3,3,3,8,15,12,25,17,0.5,0.125,0.625,0.9253,0.4167,0.9412
4,2,True,3,3,4,8,15,12,25,17,0.5,0.125,0.625,0.9253,0.4167,0.9412
4,4,False,1,3,2,16,29,34,49,65,1.0,1.0,1.0,0.8969,undefined,undefined
4,4,False,1,3,3,16,29,34,49,81,1.0,1.0,1.0,0.8834,undefined,undefined
4,4,False,1,3,4,16,29,34,49,97,1.0,1.0,1.0,0.8407,undefined,undefined
4,4,False,2,3,2,16,29,34,49,65,1.0,1.0,1.0,0.8969,undefined,undefined
4,4,False,2,3,3,16,29,34,49,81,1.0,1.0,1.0,0.8834,undefined,undefined
4,4,False,2,3,4,16,29,34,49,97,1.0,1.0,1.0,0.8407,undefined,undefined
4,4,False,3,3,2,16,29,34,49,65,1.0,1.0,1.0,0.8969,undefined,undefined
4,4,False,3,3,3,16,29,34,49,81,1.0,1.0,1.0,0.8834,undefined,undefined
4,4,False,3,3,4,16,29,34,49,97,1.0,1.0,1.0,0.8407,undefined,undefined
4,4,True,1,3,2,16,29,26,49,33,0.5,0.0625,0.5625,0.9253,0.4231,0.9697
4,4,True,1,3,3,16,29,26,49,33,0.5,0.0625,0.5625,0.9253,0.4231,0.9697
4,4,True,1,3,4,16,29,26,49,33,0.5,0.0625,0.5625,0.9253,0.4231,0.9697
4,4,True,2,3,2,16,29,26,49,33,0.5,0.0625,0.5625,0.9253,0.4231,0.9697
4,4,True,2,3,3,16,29,26,49,33,0.5,0.0625,0.5625,0.9253,0.4231,0.9697
4,4,True,2,3,4,16,29,26,49,33,0.5,0.0625,0.5625,0.9253,0.4231,0.9697
4,4,True,3,3,2,16,29,26,49,33,0.5,0.0625,0.5625,0.9253,0.4231,0.9697
4,4,True,3,3,3,16,29,26,49,33,0.5,0.0625,0.5625,0.9253,0.4231,0.9697
4,4,True,3,3,4,16,29,26,49,33,0.5,0.0625,0.5625,0.9253,0.4231,0.9697
4,6,False,1,3,2,24,43,52,73,97,1.0,1.0,1.0,0.908,undefined,undefined
4,6,False,1,3,3,24,43,52,73,121,1.0,1.0,1.0,0.9004,undefined,undefined
4,6,False,1,3,4,24,43,52,73,145,1.0,1.0,1.0,0.8451,undefined,undefined
4,6,False,2,3,2,24,43,52,73,97,1.0,1.0,1.0,0.908,undefined,undefined
4,6,False,2,3,3,24,43,52,73,121,1.0,1.0,1.0,0.9004,undefined,undefined
4,6,False,2,3,4,24,43,52,73,145,1.0,1.0,1.0,0.8451,undefined,undefined
4,6,False,3,3,2,24,43,52,73,97,1.0,1.0,1.0,0.908,undefined,undefined
4,6,False,3,3,3,24,43,52,73,121,1.0,1.0,1.0,0.9004,undefined,undefined
4,6,False,3,3,4,24,43,52,73,145,1.0,1.0,1.0,0.8451,undefined,undefined
4,6,True,1,3,2,24,43,40,73,49,0.5,0.0417,0.5417,0.9253,0.425,0.9796
4,6,True,1,3,3,24,43,40,73,49,0.5,0.0417,0.5417,0.9253,0.425,0.9796
4,6,True,1,3,4,24,43,40,73,49,0.5,0.0417,0.5417,0.9253,0.425,0.9796
4,6,True,2,3,2,24,43,40,73,49,0.5,0.0417,0.5417,0.9253,0.425,0.9796
4,6,True,2,3,3,24,43,40,73,49,0.5,0.0417,0.5417,0.9253,0.425,0.9796
4,6,True,2,3,4,24,43,40,73,49,0.5,0.0417,0.5417,0.9253,0.425,0.9796
4,6,True,3,3,2,24,43,40,73,49,0.5,0.0417,0.5417,0.9253,0.425,0.9796
4,6,True,3,3,3,24,43,40,73,49,0.5,0.0417,0.5417,0.9253,0.425,0.9796
4,6,True,3,3,4,24,43,40,73,49,0.5,0.0417,0.5417,0.9253,0.425,0.9796
6,2,False,1,3,2,12,19,20,37,49,1.0,1.0,1.0,0.8859,undefined,undefined
6,2,False,1,3,3,12,19,20,37,61,1.0,1.0,1.0,0.8364,undefined,undefined
6,2,False,1,3,4,12,19,20,37,73,1.0,1.0,1.0,0.8364,undefined,undefined
6,2,False,2,3,2,12,19,20,37,49,1.0,1.0,1.0,0.8859,undefined,undefined
6,2,False,2,3,3,12,19,20,37,61,1.0,1.0,1.0,0.8364,undefined,undefined
6,2,False,2,3,4,12,19,20,37,73,1.0,1.0,1.0,0.8364,undefined,undefined
6,2,False,3,3,2,12,19,20,37,49,1.0,1.0,1.0,0.8859,undefined,undefined
6,2,False,3,3,3,12,19,20,37,61,1.0,1.0,1.0,0.8364,undefined,undefined
6,2,False,3,3,4,12,19,20,37,73,1.0,1.0,1.0,0.8364,undefined,undefined
6,2,True,1,3,2,12,19,12,37,25,0.3333,0.0833,0.75,0.7772,0.4167,0.96
6,2,True,1,3,3,12,19,12,37,25,0.3333,0.0833,0.75,0.7772,0.4167,0.96
6,2,True,1,3,4,12,19,12,37,25,0.3333,0.0833,0.75,0.7772,0.4167,0.96
6,2,True,2,3,2,12,19,12,37,25,0.3333,0.0833,0.75,0.7772,0.4167,0.96
6,2,True,2,3,3,12,19,12,37,25,0.3333,0.0833,0.75,0.7772,0.4167,0.96
6,2,True,2,3,4,12,19,12,37,25,0.3333,0.0833,0.75,0.7772,0.4167,0.96
6,2,True,3,3,2,12,19,12,37,25,0.3333,0.0833,0.75,0.7772,0.4167,0.96
6,2,True,3,3,3,12,19,12,37,25,0.3333,0.0833,0.75,0.7772,0.4167,0.96
6,2,True,3,3,4,12,19,12,37,25,0.3333,0.0833,0.75,0.7772,0.4167,0.96
6,4,False,1,3,2,24,37,42,73,97,1.0,1.0,1.0,0.8997,undefined,undefined
